threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.024813,aB5yNyM=19
1,2,0.024458,aB5yNyM=19
1,3,0.025015,aB5yNyM=19
1,4,0.025083,aB5yNyM=19
1,5,0.024801,aB5yNyM=19
1,6,0.024822,aB5yNyM=19
1,7,0.024798,aB5yNyM=19
1,8,0.024778,aB5yNyM=19
1,9,0.024816,aB5yNyM=19
1,10,0.024787,aB5yNyM=19
1,11,0.024763,aB5yNyM=19
1,12,0.024895,aB5yNyM=19
1,13,0.024936,aB5yNyM=19
1,14,0.024886,aB5yNyM=19
1,15,0.024961,aB5yNyM=19
1,16,0.024921,aB5yNyM=19
1,17,0.026765,aB5yNyM=19
1,18,0.027067,aB5yNyM=19
1,19,0.027167,aB5yNyM=19
1,20,0.026943,aB5yNyM=19
1,21,0.02954,aB5yNyM=19
1,22,0.041287,aB5yNyM=19
1,23,0.041284,aB5yNyM=19
1,24,0.047116,aB5yNyM=19
1,25,0.047399,aB5yNyM=19
1,26,0.047331,aB5yNyM=19
