threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.099046,aWXtt3CaT=19
1,2,0.097714,aWXtt3CaT=19
1,3,0.097712,aWXtt3CaT=19
1,4,0.098425,aWXtt3CaT=19
1,5,0.097393,aWXtt3CaT=19
1,6,0.097014,aWXtt3CaT=19
1,7,0.097427,aWXtt3CaT=19
1,8,0.097214,aWXtt3CaT=19
1,9,0.097062,aWXtt3CaT=19
1,10,0.096873,aWXtt3CaT=19
1,11,0.097269,aWXtt3CaT=19
1,12,0.097779,aWXtt3CaT=19
1,13,0.096932,aWXtt3CaT=19
1,14,0.096885,aWXtt3CaT=19
1,15,0.096913,aWXtt3CaT=19
1,16,0.097123,aWXtt3CaT=19
1,17,0.096493,aWXtt3CaT=19
1,18,0.097425,aWXtt3CaT=19
1,19,0.09698,aWXtt3CaT=19
1,20,0.097026,aWXtt3CaT=19
1,21,0.096941,aWXtt3CaT=19
1,22,0.097517,aWXtt3CaT=19
1,23,0.097459,aWXtt3CaT=19
1,24,0.096617,aWXtt3CaT=19
1,25,0.097211,aWXtt3CaT=19
1,26,0.096725,aWXtt3CaT=19
