threads_lectura,thread_maximo,tiempo_mediana,output
1,1,1.71848,afVbByEBGFj=1
1,2,1.66098,afVbByEBGFj=1
1,3,1.73006,afVbByEBGFj=1
1,4,1.63981,afVbByEBGFj=1
1,5,1.66409,afVbByEBGFj=1
1,6,1.67915,afVbByEBGFj=1
1,7,1.65048,afVbByEBGFj=1
1,8,1.69419,afVbByEBGFj=1
1,9,1.71138,afVbByEBGFj=1
1,10,1.69219,afVbByEBGFj=1
1,11,1.6961,afVbByEBGFj=1
1,12,1.6637,afVbByEBGFj=1
1,13,1.72069,afVbByEBGFj=1
1,14,1.65194,afVbByEBGFj=1
1,15,1.63226,afVbByEBGFj=1
1,16,1.72542,afVbByEBGFj=1
1,17,1.64401,afVbByEBGFj=1
1,18,1.66778,afVbByEBGFj=1
1,19,1.65123,afVbByEBGFj=1
1,20,1.65798,afVbByEBGFj=1
1,21,1.70541,afVbByEBGFj=1
1,22,1.67558,afVbByEBGFj=1
1,23,1.70488,afVbByEBGFj=1
1,24,1.61932,afVbByEBGFj=1
1,25,1.65277,afVbByEBGFj=1
1,26,1.68915,afVbByEBGFj=1
