threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.011572,asEpaNKBH=19
1,2,0.011392,asEpaNKBH=19
1,3,0.01155,asEpaNKBH=19
1,4,0.011625,asEpaNKBH=19
1,5,0.011461,asEpaNKBH=19
1,6,0.011487,asEpaNKBH=19
1,7,0.011444,asEpaNKBH=19
1,8,0.011472,asEpaNKBH=19
1,9,0.011568,asEpaNKBH=19
1,10,0.011479,asEpaNKBH=19
1,11,0.011448,asEpaNKBH=19
1,12,0.011596,asEpaNKBH=19
1,13,0.011485,asEpaNKBH=19
1,14,0.011429,asEpaNKBH=19
1,15,0.011469,asEpaNKBH=19
1,16,0.011325,asEpaNKBH=19
1,17,0.011422,asEpaNKBH=19
1,18,0.011409,asEpaNKBH=19
1,19,0.011354,asEpaNKBH=19
1,20,0.011408,asEpaNKBH=19
1,21,0.011416,asEpaNKBH=19
1,22,0.011448,asEpaNKBH=19
1,23,0.011347,asEpaNKBH=19
1,24,0.011452,asEpaNKBH=19
1,25,0.011394,asEpaNKBH=19
1,26,0.011377,asEpaNKBH=19
