threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.021538,aBveRUnru=1
1,2,0.021699,aBveRUnru=1
1,3,0.0216,aBveRUnru=1
1,4,0.021628,aBveRUnru=1
1,5,0.021534,aBveRUnru=1
1,6,0.02164,aBveRUnru=1
1,7,0.021502,aBveRUnru=1
1,8,0.021645,aBveRUnru=1
1,9,0.021542,aBveRUnru=1
1,10,0.021666,aBveRUnru=1
1,11,0.021657,aBveRUnru=1
1,12,0.021646,aBveRUnru=1
1,13,0.021583,aBveRUnru=1
1,14,0.021588,aBveRUnru=1
1,15,0.021568,aBveRUnru=1
1,16,0.021697,aBveRUnru=1
1,17,0.021634,aBveRUnru=1
1,18,0.021651,aBveRUnru=1
1,19,0.021618,aBveRUnru=1
1,20,0.021623,aBveRUnru=1
1,21,0.021602,aBveRUnru=1
1,22,0.021677,aBveRUnru=1
1,23,0.02158,aBveRUnru=1
1,24,0.021564,aBveRUnru=1
1,25,0.021554,aBveRUnru=1
1,26,0.021688,aBveRUnru=1
