threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.011256,aZpbvte=1
1,2,0.011385,aZpbvte=1
1,3,0.007525,aZpbvte=1
1,4,0.006829,aZpbvte=1
1,5,0.006815,aZpbvte=1
1,6,0.006921,aZpbvte=1
1,7,0.006803,aZpbvte=1
1,8,0.006907,aZpbvte=1
1,9,0.006907,aZpbvte=1
1,10,0.006938,aZpbvte=1
1,11,0.006911,aZpbvte=1
1,12,0.006785,aZpbvte=1
1,13,0.006817,aZpbvte=1
1,14,0.006805,aZpbvte=1
1,15,0.00678,aZpbvte=1
1,16,0.006739,aZpbvte=1
1,17,0.006786,aZpbvte=1
1,18,0.006826,aZpbvte=1
1,19,0.006787,aZpbvte=1
1,20,0.006873,aZpbvte=1
1,21,0.006752,aZpbvte=1
1,22,0.00689,aZpbvte=1
1,23,0.006814,aZpbvte=1
1,24,0.006818,aZpbvte=1
1,25,0.006776,aZpbvte=1
1,26,0.006765,aZpbvte=1
