threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.047081,aBAOz6uq=19
1,2,0.049425,aBAOz6uq=19
1,3,0.050761,aBAOz6uq=19
1,4,0.047756,aBAOz6uq=19
1,5,0.047824,aBAOz6uq=19
1,6,0.047819,aBAOz6uq=19
1,7,0.047856,aBAOz6uq=19
1,8,0.047947,aBAOz6uq=19
1,9,0.051878,aBAOz6uq=19
1,10,0.04827,aBAOz6uq=19
1,11,0.048462,aBAOz6uq=19
1,12,0.070377,aBAOz6uq=19
1,13,0.061003,aBAOz6uq=19
1,14,0.048028,aBAOz6uq=19
1,15,0.048423,aBAOz6uq=19
1,16,0.056597,aBAOz6uq=19
1,17,0.047743,aBAOz6uq=19
1,18,0.047835,aBAOz6uq=19
1,19,0.047832,aBAOz6uq=19
1,20,0.048226,aBAOz6uq=19
1,21,0.049049,aBAOz6uq=19
1,22,0.048479,aBAOz6uq=19
1,23,0.048347,aBAOz6uq=19
1,24,0.048071,aBAOz6uq=19
1,25,0.047614,aBAOz6uq=19
1,26,0.048133,aBAOz6uq=19
