threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.049962,aqE240=1
1,2,0.050537,aqE240=1
1,3,0.05011,aqE240=1
1,4,0.050123,aqE240=1
1,5,0.050052,aqE240=1
1,6,0.049947,aqE240=1
1,7,0.049885,aqE240=1
1,8,0.049889,aqE240=1
1,9,0.04983,aqE240=1
1,10,0.050186,aqE240=1
1,11,0.054268,aqE240=1
1,12,0.053976,aqE240=1
1,13,0.053921,aqE240=1
1,14,0.049894,aqE240=1
1,15,0.054125,aqE240=1
1,16,0.065634,aqE240=1
1,17,0.065332,aqE240=1
1,18,0.065694,aqE240=1
1,19,0.065909,aqE240=1
1,20,0.065569,aqE240=1
1,21,0.065701,aqE240=1
1,22,0.065407,aqE240=1
1,23,0.065593,aqE240=1
1,24,0.082947,aqE240=1
1,25,0.082693,aqE240=1
1,26,0.082295,aqE240=1
