threads_lectura,thread_maximo,tiempo_mediana,output
1,1,1.60189,a4TyL9pDKqkrM=19
1,2,1.60713,a4TyL9pDKqkrM=19
1,3,1.63076,a4TyL9pDKqkrM=19
1,4,1.58423,a4TyL9pDKqkrM=19
1,5,1.57541,a4TyL9pDKqkrM=19
1,6,1.56022,a4TyL9pDKqkrM=19
1,7,1.59194,a4TyL9pDKqkrM=19
1,8,1.59333,a4TyL9pDKqkrM=19
1,9,1.57756,a4TyL9pDKqkrM=19
1,10,1.59505,a4TyL9pDKqkrM=19
1,11,1.57277,a4TyL9pDKqkrM=19
1,12,1.58888,a4TyL9pDKqkrM=19
1,13,1.5808,a4TyL9pDKqkrM=19
1,14,1.58471,a4TyL9pDKqkrM=19
1,15,1.5642,a4TyL9pDKqkrM=19
1,16,1.61709,a4TyL9pDKqkrM=19
1,17,1.58531,a4TyL9pDKqkrM=19
1,18,1.63729,a4TyL9pDKqkrM=19
1,19,1.59072,a4TyL9pDKqkrM=19
1,20,1.59465,a4TyL9pDKqkrM=19
1,21,1.58889,a4TyL9pDKqkrM=19
1,22,1.63266,a4TyL9pDKqkrM=19
1,23,1.60314,a4TyL9pDKqkrM=19
1,24,1.58545,a4TyL9pDKqkrM=19
1,25,1.63238,a4TyL9pDKqkrM=19
1,26,1.5663,a4TyL9pDKqkrM=19
