threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.01709,dGa=2
1,2,0.017055,dGa=2
1,3,0.016968,dGa=2
1,4,0.017002,dGa=2
1,5,0.017045,dGa=2
1,6,0.016945,dGa=2
1,7,0.017004,dGa=2
1,8,0.017045,dGa=2
1,9,0.017083,dGa=2
1,10,0.01687,dGa=2
1,11,0.017077,dGa=2
1,12,0.016917,dGa=2
1,13,0.016985,dGa=2
1,14,0.017033,dGa=2
1,15,0.016999,dGa=2
1,16,0.017005,dGa=2
1,17,0.016966,dGa=2
1,18,0.01706,dGa=2
1,19,0.016967,dGa=2
1,20,0.017131,dGa=2
1,21,0.017028,dGa=2
1,22,0.017046,dGa=2
1,23,0.016926,dGa=2
1,24,0.01704,dGa=2
1,25,0.016961,dGa=2
1,26,0.017046,dGa=2
