threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.025092,aWgVg=1
1,2,0.024828,aWgVg=1
1,3,0.025065,aWgVg=1
1,4,0.024762,aWgVg=1
1,5,0.024805,aWgVg=1
1,6,0.024969,aWgVg=1
1,7,0.024886,aWgVg=1
1,8,0.02492,aWgVg=1
1,9,0.024903,aWgVg=1
1,10,0.024891,aWgVg=1
1,11,0.02484,aWgVg=1
1,12,0.024906,aWgVg=1
1,13,0.02488,aWgVg=1
1,14,0.024843,aWgVg=1
1,15,0.024864,aWgVg=1
1,16,0.024879,aWgVg=1
1,17,0.024897,aWgVg=1
1,18,0.024847,aWgVg=1
1,19,0.024829,aWgVg=1
1,20,0.024917,aWgVg=1
1,21,0.024882,aWgVg=1
1,22,0.024931,aWgVg=1
1,23,0.024843,aWgVg=1
1,24,0.02479,aWgVg=1
1,25,0.024831,aWgVg=1
1,26,0.024908,aWgVg=1
