threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.379138,a1jjrTF8jor=19
1,2,0.368496,a1jjrTF8jor=19
1,3,0.374924,a1jjrTF8jor=19
1,4,0.382087,a1jjrTF8jor=19
1,5,0.375084,a1jjrTF8jor=19
1,6,0.375515,a1jjrTF8jor=19
1,7,0.37529,a1jjrTF8jor=19
1,8,0.382738,a1jjrTF8jor=19
1,9,0.380786,a1jjrTF8jor=19
1,10,0.375117,a1jjrTF8jor=19
1,11,0.37879,a1jjrTF8jor=19
1,12,0.379484,a1jjrTF8jor=19
1,13,0.379099,a1jjrTF8jor=19
1,14,0.381597,a1jjrTF8jor=19
1,15,0.378502,a1jjrTF8jor=19
1,16,0.375001,a1jjrTF8jor=19
1,17,0.378882,a1jjrTF8jor=19
1,18,0.37584,a1jjrTF8jor=19
1,19,0.381728,a1jjrTF8jor=19
1,20,0.378274,a1jjrTF8jor=19
1,21,0.375601,a1jjrTF8jor=19
1,22,0.37835,a1jjrTF8jor=19
1,23,0.379602,a1jjrTF8jor=19
1,24,0.382444,a1jjrTF8jor=19
1,25,0.378588,a1jjrTF8jor=19
1,26,0.378503,a1jjrTF8jor=19
