threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.008604,v4H=2
1,2,0.008532,v4H=2
1,3,0.008534,v4H=2
1,4,0.00853,v4H=2
1,5,0.0085,v4H=2
1,6,0.008473,v4H=2
1,7,0.008582,v4H=2
1,8,0.008649,v4H=2
1,9,0.008459,v4H=2
1,10,0.008496,v4H=2
1,11,0.00851,v4H=2
1,12,0.008535,v4H=2
1,13,0.008552,v4H=2
1,14,0.008523,v4H=2
1,15,0.008614,v4H=2
1,16,0.008472,v4H=2
1,17,0.008572,v4H=2
1,18,0.008547,v4H=2
1,19,0.008485,v4H=2
1,20,0.008544,v4H=2
1,21,0.008475,v4H=2
1,22,0.008534,v4H=2
1,23,0.008549,v4H=2
1,24,0.008512,v4H=2
1,25,0.008533,v4H=2
1,26,0.00846,v4H=2
