threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.031531,aVJv=1
1,2,0.03177,aVJv=1
1,3,0.031584,aVJv=1
1,4,0.031595,aVJv=1
1,5,0.031993,aVJv=1
1,6,0.031734,aVJv=1
1,7,0.031692,aVJv=1
1,8,0.031619,aVJv=1
1,9,0.031679,aVJv=1
1,10,0.031467,aVJv=1
1,11,0.031632,aVJv=1
1,12,0.031512,aVJv=1
1,13,0.031502,aVJv=1
1,14,0.031537,aVJv=1
1,15,0.031575,aVJv=1
1,16,0.034008,aVJv=1
1,17,0.034232,aVJv=1
1,18,0.034137,aVJv=1
1,19,0.034283,aVJv=1
1,20,0.03424,aVJv=1
1,21,0.034446,aVJv=1
1,22,0.034218,aVJv=1
1,23,0.034298,aVJv=1
1,24,0.034169,aVJv=1
1,25,0.03435,aVJv=1
1,26,0.034319,aVJv=1
