threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.00566,gQ=2
1,2,0.005668,gQ=2
1,3,0.005674,gQ=2
1,4,0.005599,gQ=2
1,5,0.005662,gQ=2
1,6,0.005651,gQ=2
1,7,0.005568,gQ=2
1,8,0.005702,gQ=2
1,9,0.005652,gQ=2
1,10,0.00569,gQ=2
1,11,0.005679,gQ=2
1,12,0.005682,gQ=2
1,13,0.005658,gQ=2
1,14,0.005712,gQ=2
1,15,0.005603,gQ=2
1,16,0.005638,gQ=2
1,17,0.005583,gQ=2
1,18,0.005631,gQ=2
1,19,0.005599,gQ=2
1,20,0.005743,gQ=2
1,21,0.005758,gQ=2
1,22,0.005785,gQ=2
1,23,0.005713,gQ=2
1,24,0.005724,gQ=2
1,25,0.005657,gQ=2
1,26,0.005708,gQ=2
