threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.013638,aUWXDz=19
1,2,0.013645,aUWXDz=19
1,3,0.013749,aUWXDz=19
1,4,0.013449,aUWXDz=19
1,5,0.013613,aUWXDz=19
1,6,0.01362,aUWXDz=19
1,7,0.013598,aUWXDz=19
1,8,0.013558,aUWXDz=19
1,9,0.013565,aUWXDz=19
1,10,0.013522,aUWXDz=19
1,11,0.013671,aUWXDz=19
1,12,0.013542,aUWXDz=19
1,13,0.013454,aUWXDz=19
1,14,0.013491,aUWXDz=19
1,15,0.013544,aUWXDz=19
1,16,0.013504,aUWXDz=19
1,17,0.013532,aUWXDz=19
1,18,0.01361,aUWXDz=19
1,19,0.013555,aUWXDz=19
1,20,0.013494,aUWXDz=19
1,21,0.013547,aUWXDz=19
1,22,0.013531,aUWXDz=19
1,23,0.014846,aUWXDz=19
1,24,0.014751,aUWXDz=19
1,25,0.014723,aUWXDz=19
1,26,0.014639,aUWXDz=19
