threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.002518,d=15
1,2,0.002525,d=15
1,3,0.002446,d=15
1,4,0.002415,d=15
1,5,0.002336,d=15
1,6,0.002496,d=15
1,7,0.002344,d=15
1,8,0.002336,d=15
1,9,0.002417,d=15
1,10,0.002377,d=15
1,11,0.002337,d=15
1,12,0.002446,d=15
1,13,0.002386,d=15
1,14,0.002354,d=15
1,15,0.002384,d=15
1,16,0.00235,d=15
1,17,0.002339,d=15
1,18,0.002369,d=15
1,19,0.002354,d=15
1,20,0.002391,d=15
1,21,0.002342,d=15
1,22,0.002352,d=15
1,23,0.002338,d=15
1,24,0.002343,d=15
1,25,0.002357,d=15
1,26,0.002299,d=15
