threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.978308,aqEWLKqgj=1
1,2,0.975921,aqEWLKqgj=1
1,3,0.991182,aqEWLKqgj=1
1,4,0.978836,aqEWLKqgj=1
1,5,1.01293,aqEWLKqgj=1
1,6,0.985482,aqEWLKqgj=1
1,7,1.05575,aqEWLKqgj=1
1,8,1.0523,aqEWLKqgj=1
1,9,0.999219,aqEWLKqgj=1
1,10,0.978365,aqEWLKqgj=1
1,11,0.986111,aqEWLKqgj=1
1,12,0.977592,aqEWLKqgj=1
1,13,0.9904,aqEWLKqgj=1
1,14,0.994001,aqEWLKqgj=1
1,15,0.965387,aqEWLKqgj=1
1,16,0.991797,aqEWLKqgj=1
1,17,0.998127,aqEWLKqgj=1
1,18,1.00209,aqEWLKqgj=1
1,19,0.979216,aqEWLKqgj=1
1,20,1.00088,aqEWLKqgj=1
1,21,0.996573,aqEWLKqgj=1
1,22,0.995757,aqEWLKqgj=1
1,23,0.990746,aqEWLKqgj=1
1,24,1.00018,aqEWLKqgj=1
1,25,1.00212,aqEWLKqgj=1
1,26,0.990584,aqEWLKqgj=1
