threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.007286,dKKhyzfl=19
1,2,0.007096,dKKhyzfl=19
1,3,0.007245,dKKhyzfl=19
1,4,0.00779,dKKhyzfl=19
1,5,0.007196,dKKhyzfl=19
1,6,0.007209,dKKhyzfl=19
1,7,0.007116,dKKhyzfl=19
1,8,0.007102,dKKhyzfl=19
1,9,0.007249,dKKhyzfl=19
1,10,0.007102,dKKhyzfl=19
1,11,0.007138,dKKhyzfl=19
1,12,0.007185,dKKhyzfl=19
1,13,0.007106,dKKhyzfl=19
1,14,0.00714,dKKhyzfl=19
1,15,0.007057,dKKhyzfl=19
1,16,0.007096,dKKhyzfl=19
1,17,0.007136,dKKhyzfl=19
1,18,0.007059,dKKhyzfl=19
1,19,0.007098,dKKhyzfl=19
1,20,0.007113,dKKhyzfl=19
1,21,0.007124,dKKhyzfl=19
1,22,0.007151,dKKhyzfl=19
1,23,0.007122,dKKhyzfl=19
1,24,0.007068,dKKhyzfl=19
1,25,0.007102,dKKhyzfl=19
1,26,0.007153,dKKhyzfl=19
