threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.195271,aYgEMAjTTU=19
1,2,0.193268,aYgEMAjTTU=19
1,3,0.197046,aYgEMAjTTU=19
1,4,0.195006,aYgEMAjTTU=19
1,5,0.197851,aYgEMAjTTU=19
1,6,0.197853,aYgEMAjTTU=19
1,7,0.193076,aYgEMAjTTU=19
1,8,0.197092,aYgEMAjTTU=19
1,9,0.1934,aYgEMAjTTU=19
1,10,0.193199,aYgEMAjTTU=19
1,11,0.195138,aYgEMAjTTU=19
1,12,0.195166,aYgEMAjTTU=19
1,13,0.193527,aYgEMAjTTU=19
1,14,0.197975,aYgEMAjTTU=19
1,15,0.192851,aYgEMAjTTU=19
1,16,0.195057,aYgEMAjTTU=19
1,17,0.193723,aYgEMAjTTU=19
1,18,0.19069,aYgEMAjTTU=19
1,19,0.193577,aYgEMAjTTU=19
1,20,0.191045,aYgEMAjTTU=19
1,21,0.192842,aYgEMAjTTU=19
1,22,0.192838,aYgEMAjTTU=19
1,23,0.197864,aYgEMAjTTU=19
1,24,0.193688,aYgEMAjTTU=19
1,25,0.191721,aYgEMAjTTU=19
1,26,0.193059,aYgEMAjTTU=19
