threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.01166,aUtVQhQD=1
1,2,0.011703,aUtVQhQD=1
1,3,0.011847,aUtVQhQD=1
1,4,0.011702,aUtVQhQD=1
1,5,0.011681,aUtVQhQD=1
1,6,0.011724,aUtVQhQD=1
1,7,0.011726,aUtVQhQD=1
1,8,0.011698,aUtVQhQD=1
1,9,0.011695,aUtVQhQD=1
1,10,0.011747,aUtVQhQD=1
1,11,0.011696,aUtVQhQD=1
1,12,0.011687,aUtVQhQD=1
1,13,0.011701,aUtVQhQD=1
1,14,0.011629,aUtVQhQD=1
1,15,0.011682,aUtVQhQD=1
1,16,0.011717,aUtVQhQD=1
1,17,0.011666,aUtVQhQD=1
1,18,0.01174,aUtVQhQD=1
1,19,0.011568,aUtVQhQD=1
1,20,0.011719,aUtVQhQD=1
1,21,0.011772,aUtVQhQD=1
1,22,0.011727,aUtVQhQD=1
1,23,0.011679,aUtVQhQD=1
1,24,0.011823,aUtVQhQD=1
1,25,0.011632,aUtVQhQD=1
1,26,0.011688,aUtVQhQD=1
