threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.052545,asEpaNKBH=19
1,2,0.086388,asEpaNKBH=19
1,3,0.105418,asEpaNKBH=19
1,4,1.81191,asEpaNKBH=19
1,5,1.03592,asEpaNKBH=19
1,6,2.35262,asEpaNKBH=19
1,7,0.179734,asEpaNKBH=19
1,8,0.164655,asEpaNKBH=19
1,9,0.170956,asEpaNKBH=19
1,10,0.183144,asEpaNKBH=19
1,11,0.219168,asEpaNKBH=19
1,12,0.223161,asEpaNKBH=19
1,13,0.245379,asEpaNKBH=19
1,14,0.267711,asEpaNKBH=19
1,15,0.308126,asEpaNKBH=19
1,16,0.30571,asEpaNKBH=19
1,17,0.297152,asEpaNKBH=19
1,18,0.303296,asEpaNKBH=19
1,19,0.347852,asEpaNKBH=19
1,20,0.330284,asEpaNKBH=19
1,21,0.352942,asEpaNKBH=19
1,22,0.367167,asEpaNKBH=19
1,23,0.36707,asEpaNKBH=19
1,24,0.38527,asEpaNKBH=19
1,25,0.398956,asEpaNKBH=19
1,26,0.428442,asEpaNKBH=19
