threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.090357,aWgVg=1
1,2,0.075116,aWgVg=1
1,3,0.108103,aWgVg=1
1,4,0.110123,aWgVg=1
1,5,0.149319,aWgVg=1
1,6,0.144132,aWgVg=1
1,7,0.166558,aWgVg=1
1,8,0.168735,aWgVg=1
1,9,0.174483,aWgVg=1
1,10,0.210187,aWgVg=1
1,11,0.189285,aWgVg=1
1,12,0.206652,aWgVg=1
1,13,0.23155,aWgVg=1
1,14,0.259125,aWgVg=1
1,15,0.272568,aWgVg=1
1,16,0.318025,aWgVg=1
1,17,0.280075,aWgVg=1
1,18,0.305409,aWgVg=1
1,19,0.320359,aWgVg=1
1,20,0.331576,aWgVg=1
1,21,0.342032,aWgVg=1
1,22,0.348835,aWgVg=1
1,23,0.400977,aWgVg=1
1,24,0.385118,aWgVg=1
1,25,0.426375,aWgVg=1
1,26,0.435873,aWgVg=1
