threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.086427,aUWXDz=19
1,2,0.086494,aUWXDz=19
1,3,0.088665,aUWXDz=19
1,4,0.13642,aUWXDz=19
1,5,0.12232,aUWXDz=19
1,6,0.159382,aUWXDz=19
1,7,0.140993,aUWXDz=19
1,8,0.169608,aUWXDz=19
1,9,0.204841,aUWXDz=19
1,10,0.185816,aUWXDz=19
1,11,0.218553,aUWXDz=19
1,12,0.209912,aUWXDz=19
1,13,0.236251,aUWXDz=19
1,14,0.228619,aUWXDz=19
1,15,1.40319,aUWXDz=19
1,16,0.554717,aUWXDz=19
1,17,0.295976,aUWXDz=19
1,18,0.309886,aUWXDz=19
1,19,0.311037,aUWXDz=19
1,20,0.394463,aUWXDz=19
1,21,0.358089,aUWXDz=19
1,22,0.353431,aUWXDz=19
1,23,0.371762,aUWXDz=19
1,24,0.384333,aUWXDz=19
1,25,0.414155,aUWXDz=19
1,26,0.442448,aUWXDz=19
