threads_lectura,thread_maximo,tiempo_mediana,output
1,1,6.1966,a57vpATzL1dml8=19
1,2,6.2689,a57vpATzL1dml8=19
1,3,6.45176,a57vpATzL1dml8=19
1,4,6.54807,a57vpATzL1dml8=19
1,5,6.54526,a57vpATzL1dml8=19
1,6,6.72139,a57vpATzL1dml8=19
1,7,6.7132,a57vpATzL1dml8=19
1,8,6.81445,a57vpATzL1dml8=19
1,9,6.86022,a57vpATzL1dml8=19
1,10,6.89551,a57vpATzL1dml8=19
1,11,7.02777,a57vpATzL1dml8=19
1,12,6.96193,a57vpATzL1dml8=19
1,13,7.06929,a57vpATzL1dml8=19
1,14,7.179,a57vpATzL1dml8=19
1,15,7.23817,a57vpATzL1dml8=19
1,16,7.37938,a57vpATzL1dml8=19
1,17,7.3773,a57vpATzL1dml8=19
1,18,7.41373,a57vpATzL1dml8=19
1,19,7.49393,a57vpATzL1dml8=19
1,20,7.53683,a57vpATzL1dml8=19
1,21,7.57029,a57vpATzL1dml8=19
1,22,7.6228,a57vpATzL1dml8=19
1,23,7.74664,a57vpATzL1dml8=19
1,24,7.68767,a57vpATzL1dml8=19
1,25,7.79687,a57vpATzL1dml8=19
1,26,7.7871,a57vpATzL1dml8=19
