threads_lectura,thread_maximo,tiempo_mediana,output
1,1,1.03973,ag5xVfE7PXYL=19
1,2,1.0917,ag5xVfE7PXYL=19
1,3,1.09112,ag5xVfE7PXYL=19
1,4,1.19216,ag5xVfE7PXYL=19
1,5,1.26594,ag5xVfE7PXYL=19
1,6,1.34399,ag5xVfE7PXYL=19
1,7,1.34013,ag5xVfE7PXYL=19
1,8,1.34479,ag5xVfE7PXYL=19
1,9,1.40929,ag5xVfE7PXYL=19
1,10,1.40953,ag5xVfE7PXYL=19
1,11,1.50232,ag5xVfE7PXYL=19
1,12,1.51515,ag5xVfE7PXYL=19
1,13,1.51678,ag5xVfE7PXYL=19
1,14,1.49077,ag5xVfE7PXYL=19
1,15,1.60717,ag5xVfE7PXYL=19
1,16,1.66012,ag5xVfE7PXYL=19
1,17,1.70738,ag5xVfE7PXYL=19
1,18,1.66342,ag5xVfE7PXYL=19
1,19,1.78214,ag5xVfE7PXYL=19
1,20,1.77544,ag5xVfE7PXYL=19
1,21,1.80523,ag5xVfE7PXYL=19
1,22,1.85953,ag5xVfE7PXYL=19
1,23,1.91473,ag5xVfE7PXYL=19
1,24,1.97746,ag5xVfE7PXYL=19
1,25,1.95297,ag5xVfE7PXYL=19
1,26,1.9611,ag5xVfE7PXYL=19
