threads_lectura,thread_maximo,tiempo_mediana,output
1,1,1.37458,aqEWLKqgj=1
1,2,1.37591,aqEWLKqgj=1
1,3,1.43228,aqEWLKqgj=1
1,4,1.47502,aqEWLKqgj=1
1,5,1.54231,aqEWLKqgj=1
1,6,1.606,aqEWLKqgj=1
1,7,1.64673,aqEWLKqgj=1
1,8,1.62971,aqEWLKqgj=1
1,9,1.68566,aqEWLKqgj=1
1,10,1.74935,aqEWLKqgj=1
1,11,1.79526,aqEWLKqgj=1
1,12,1.8272,aqEWLKqgj=1
1,13,1.94764,aqEWLKqgj=1
1,14,1.80224,aqEWLKqgj=1
1,15,1.86737,aqEWLKqgj=1
1,16,1.97941,aqEWLKqgj=1
1,17,1.97376,aqEWLKqgj=1
1,18,2.02589,aqEWLKqgj=1
1,19,2.08874,aqEWLKqgj=1
1,20,2.05743,aqEWLKqgj=1
1,21,2.10628,aqEWLKqgj=1
1,22,2.16153,aqEWLKqgj=1
1,23,2.20532,aqEWLKqgj=1
1,24,2.11865,aqEWLKqgj=1
1,25,2.2509,aqEWLKqgj=1
1,26,2.29348,aqEWLKqgj=1
