threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.222336,aWXtt3CaT=19
1,2,0.262214,aWXtt3CaT=19
1,3,0.290342,aWXtt3CaT=19
1,4,0.225885,aWXtt3CaT=19
1,5,0.323694,aWXtt3CaT=19
1,6,0.31004,aWXtt3CaT=19
1,7,0.286596,aWXtt3CaT=19
1,8,0.309929,aWXtt3CaT=19
1,9,0.353374,aWXtt3CaT=19
1,10,0.350825,aWXtt3CaT=19
1,11,0.303755,aWXtt3CaT=19
1,12,0.309805,aWXtt3CaT=19
1,13,0.371523,aWXtt3CaT=19
1,14,0.34654,aWXtt3CaT=19
1,15,0.37615,aWXtt3CaT=19
1,16,0.35254,aWXtt3CaT=19
1,17,0.382257,aWXtt3CaT=19
1,18,0.373737,aWXtt3CaT=19
1,19,0.391846,aWXtt3CaT=19
1,20,0.355756,aWXtt3CaT=19
1,21,0.389003,aWXtt3CaT=19
1,22,0.37325,aWXtt3CaT=19
1,23,0.392283,aWXtt3CaT=19
1,24,0.425863,aWXtt3CaT=19
1,25,0.419852,aWXtt3CaT=19
1,26,0.440374,aWXtt3CaT=19
