threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.153574,aBAOz6uq=19
1,2,0.202929,aBAOz6uq=19
1,3,0.207986,aBAOz6uq=19
1,4,0.194008,aBAOz6uq=19
1,5,0.206595,aBAOz6uq=19
1,6,0.228373,aBAOz6uq=19
1,7,0.197282,aBAOz6uq=19
1,8,0.217731,aBAOz6uq=19
1,9,0.24282,aBAOz6uq=19
1,10,0.260051,aBAOz6uq=19
1,11,0.242834,aBAOz6uq=19
1,12,0.303651,aBAOz6uq=19
1,13,0.274413,aBAOz6uq=19
1,14,0.323636,aBAOz6uq=19
1,15,0.325369,aBAOz6uq=19
1,16,0.319671,aBAOz6uq=19
1,17,0.335558,aBAOz6uq=19
1,18,0.384311,aBAOz6uq=19
1,19,0.337238,aBAOz6uq=19
1,20,0.395128,aBAOz6uq=19
1,21,0.360933,aBAOz6uq=19
1,22,0.376748,aBAOz6uq=19
1,23,0.39015,aBAOz6uq=19
1,24,0.397145,aBAOz6uq=19
1,25,0.412525,aBAOz6uq=19
1,26,0.427793,aBAOz6uq=19
