threads_lectura,thread_maximo,tiempo_mediana,output
1,1,6.48083,aXKjSYNl7Gad=1
1,2,6.66997,aXKjSYNl7Gad=1
1,3,6.88123,aXKjSYNl7Gad=1
1,4,6.86457,aXKjSYNl7Gad=1
1,5,7.06822,aXKjSYNl7Gad=1
1,6,7.15324,aXKjSYNl7Gad=1
1,7,7.17571,aXKjSYNl7Gad=1
1,8,7.27469,aXKjSYNl7Gad=1
1,9,7.34159,aXKjSYNl7Gad=1
1,10,7.4143,aXKjSYNl7Gad=1
1,11,7.42723,aXKjSYNl7Gad=1
1,12,7.43261,aXKjSYNl7Gad=1
1,13,7.53001,aXKjSYNl7Gad=1
1,14,7.61883,aXKjSYNl7Gad=1
1,15,7.93384,aXKjSYNl7Gad=1
1,16,7.77344,aXKjSYNl7Gad=1
1,17,7.85896,aXKjSYNl7Gad=1
1,18,7.84192,aXKjSYNl7Gad=1
1,19,8.01007,aXKjSYNl7Gad=1
1,20,7.97015,aXKjSYNl7Gad=1
1,21,8.05377,aXKjSYNl7Gad=1
1,22,8.12072,aXKjSYNl7Gad=1
1,23,8.14366,aXKjSYNl7Gad=1
1,24,8.22405,aXKjSYNl7Gad=1
1,25,8.24674,aXKjSYNl7Gad=1
1,26,8.38148,aXKjSYNl7Gad=1
