threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.048486,aZpbvte=1
1,2,0.062497,aZpbvte=1
1,3,0.07,aZpbvte=1
1,4,0.100479,aZpbvte=1
1,5,0.122575,aZpbvte=1
1,6,0.147782,aZpbvte=1
1,7,0.146427,aZpbvte=1
1,8,0.146574,aZpbvte=1
1,9,0.170487,aZpbvte=1
1,10,0.211921,aZpbvte=1
1,11,0.194256,aZpbvte=1
1,12,0.204971,aZpbvte=1
1,13,0.22128,aZpbvte=1
1,14,0.237197,aZpbvte=1
1,15,0.234153,aZpbvte=1
1,16,0.286299,aZpbvte=1
1,17,0.299467,aZpbvte=1
1,18,0.292084,aZpbvte=1
1,19,0.315788,aZpbvte=1
1,20,0.337101,aZpbvte=1
1,21,0.373419,aZpbvte=1
1,22,0.364993,aZpbvte=1
1,23,0.383212,aZpbvte=1
1,24,0.375772,aZpbvte=1
1,25,0.397113,aZpbvte=1
1,26,0.457422,aZpbvte=1
