threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.125314,aqE240=1
1,2,0.15069,aqE240=1
1,3,0.180179,aqE240=1
1,4,0.180436,aqE240=1
1,5,0.208765,aqE240=1
1,6,0.171807,aqE240=1
1,7,0.16813,aqE240=1
1,8,0.248831,aqE240=1
1,9,0.239733,aqE240=1
1,10,0.231867,aqE240=1
1,11,0.285158,aqE240=1
1,12,0.315825,aqE240=1
1,13,0.372253,aqE240=1
1,14,0.461702,aqE240=1
1,15,0.432577,aqE240=1
1,16,0.51048,aqE240=1
1,17,0.479017,aqE240=1
1,18,0.498194,aqE240=1
1,19,0.423829,aqE240=1
1,20,0.42809,aqE240=1
1,21,0.436125,aqE240=1
1,22,0.453783,aqE240=1
1,23,0.458894,aqE240=1
1,24,0.477797,aqE240=1
1,25,0.491238,aqE240=1
1,26,0.510128,aqE240=1
