threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.074702,gQ=2
1,2,0.056307,gQ=2
1,3,0.061643,gQ=2
1,4,0.075962,gQ=2
1,5,0.112165,gQ=2
1,6,0.166703,gQ=2
1,7,0.139221,gQ=2
1,8,0.157973,gQ=2
1,9,0.15836,gQ=2
1,10,0.180754,gQ=2
1,11,0.187109,gQ=2
1,12,0.207284,gQ=2
1,13,0.237778,gQ=2
1,14,0.236757,gQ=2
1,15,0.248028,gQ=2
1,16,0.272538,gQ=2
1,17,0.292305,gQ=2
1,18,0.302501,gQ=2
1,19,0.326441,gQ=2
1,20,0.317268,gQ=2
1,21,0.345107,gQ=2
1,22,0.364608,gQ=2
1,23,0.360451,gQ=2
1,24,0.396702,gQ=2
1,25,0.406565,gQ=2
1,26,0.421129,gQ=2
