threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.087779,aBveRUnru=1
1,2,0.064507,aBveRUnru=1
1,3,0.115294,aBveRUnru=1
1,4,0.102725,aBveRUnru=1
1,5,0.178786,aBveRUnru=1
1,6,0.146919,aBveRUnru=1
1,7,0.159296,aBveRUnru=1
1,8,0.163762,aBveRUnru=1
1,9,0.210683,aBveRUnru=1
1,10,0.193755,aBveRUnru=1
1,11,0.225474,aBveRUnru=1
1,12,0.226184,aBveRUnru=1
1,13,0.223026,aBveRUnru=1
1,14,0.240431,aBveRUnru=1
1,15,0.277429,aBveRUnru=1
1,16,0.273361,aBveRUnru=1
1,17,0.293933,aBveRUnru=1
1,18,0.292013,aBveRUnru=1
1,19,0.319713,aBveRUnru=1
1,20,0.334993,aBveRUnru=1
1,21,0.339802,aBveRUnru=1
1,22,0.359655,aBveRUnru=1
1,23,0.391535,aBveRUnru=1
1,24,0.398895,aBveRUnru=1
1,25,0.431444,aBveRUnru=1
1,26,0.432786,aBveRUnru=1
