threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.332949,aYgEMAjTTU=19
1,2,0.376509,aYgEMAjTTU=19
1,3,0.387127,aYgEMAjTTU=19
1,4,0.442128,aYgEMAjTTU=19
1,5,0.469591,aYgEMAjTTU=19
1,6,0.482553,aYgEMAjTTU=19
1,7,0.548615,aYgEMAjTTU=19
1,8,0.513786,aYgEMAjTTU=19
1,9,0.550585,aYgEMAjTTU=19
1,10,0.558622,aYgEMAjTTU=19
1,11,0.589942,aYgEMAjTTU=19
1,12,0.577788,aYgEMAjTTU=19
1,13,0.596677,aYgEMAjTTU=19
1,14,0.54971,aYgEMAjTTU=19
1,15,0.611083,aYgEMAjTTU=19
1,16,0.566454,aYgEMAjTTU=19
1,17,0.563398,aYgEMAjTTU=19
1,18,0.510414,aYgEMAjTTU=19
1,19,0.580243,aYgEMAjTTU=19
1,20,0.698133,aYgEMAjTTU=19
1,21,0.642244,aYgEMAjTTU=19
1,22,0.559193,aYgEMAjTTU=19
1,23,0.608447,aYgEMAjTTU=19
1,24,0.794774,aYgEMAjTTU=19
1,25,0.569454,aYgEMAjTTU=19
1,26,0.591391,aYgEMAjTTU=19
