threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.041566,dP=3
1,2,0.062225,dP=3
1,3,0.069727,dP=3
1,4,0.084585,dP=3
1,5,1.4357,dP=3
1,6,0.119342,dP=3
1,7,0.147886,dP=3
1,8,2.35471,dP=3
1,9,0.163168,dP=3
1,10,0.183002,dP=3
1,11,0.191638,dP=3
1,12,0.204719,dP=3
1,13,0.223766,dP=3
1,14,0.25547,dP=3
1,15,0.266839,dP=3
1,16,0.412479,dP=3
1,17,0.302523,dP=3
1,18,0.31933,dP=3
1,19,0.324366,dP=3
1,20,0.339706,dP=3
1,21,0.37075,dP=3
1,22,0.361163,dP=3
1,23,0.38654,dP=3
1,24,0.402978,dP=3
1,25,0.418509,dP=3
1,26,0.436257,dP=3
