threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.040915,dKKhyzfl=19
1,2,0.076809,dKKhyzfl=19
1,3,0.06272,dKKhyzfl=19
1,4,0.113767,dKKhyzfl=19
1,5,2.78744,dKKhyzfl=19
1,6,0.164489,dKKhyzfl=19
1,7,1.65427,dKKhyzfl=19
1,8,0.157423,dKKhyzfl=19
1,9,0.162331,dKKhyzfl=19
1,10,0.175069,dKKhyzfl=19
1,11,0.188006,dKKhyzfl=19
1,12,0.207525,dKKhyzfl=19
1,13,0.224359,dKKhyzfl=19
1,14,0.241429,dKKhyzfl=19
1,15,0.255253,dKKhyzfl=19
1,16,0.27664,dKKhyzfl=19
1,17,0.293433,dKKhyzfl=19
1,18,0.295633,dKKhyzfl=19
1,19,0.316445,dKKhyzfl=19
1,20,0.330431,dKKhyzfl=19
1,21,0.355383,dKKhyzfl=19
1,22,0.361467,dKKhyzfl=19
1,23,0.363136,dKKhyzfl=19
1,24,0.383287,dKKhyzfl=19
1,25,0.402547,dKKhyzfl=19
1,26,0.42153,dKKhyzfl=19
