threads_lectura,thread_maximo,tiempo_mediana,output
1,1,2.15754,afVbByEBGFj=1
1,2,2.28765,afVbByEBGFj=1
1,3,2.33017,afVbByEBGFj=1
1,4,2.33198,afVbByEBGFj=1
1,5,2.43248,afVbByEBGFj=1
1,6,2.36963,afVbByEBGFj=1
1,7,2.56141,afVbByEBGFj=1
1,8,2.59959,afVbByEBGFj=1
1,9,2.74585,afVbByEBGFj=1
1,10,2.73485,afVbByEBGFj=1
1,11,2.84924,afVbByEBGFj=1
1,12,2.8855,afVbByEBGFj=1
1,13,2.8964,afVbByEBGFj=1
1,14,2.98186,afVbByEBGFj=1
1,15,2.90883,afVbByEBGFj=1
1,16,2.92299,afVbByEBGFj=1
1,17,3.03239,afVbByEBGFj=1
1,18,3.05498,afVbByEBGFj=1
1,19,3.13743,afVbByEBGFj=1
1,20,3.26568,afVbByEBGFj=1
1,21,3.15797,afVbByEBGFj=1
1,22,3.19733,afVbByEBGFj=1
1,23,3.79986,afVbByEBGFj=1
1,24,3.31918,afVbByEBGFj=1
1,25,3.32896,afVbByEBGFj=1
1,26,3.34949,afVbByEBGFj=1
