threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.050706,dGa=2
1,2,0.085376,dGa=2
1,3,0.078121,dGa=2
1,4,0.090573,dGa=2
1,5,0.105642,dGa=2
1,6,0.125084,dGa=2
1,7,0.205772,dGa=2
1,8,0.169446,dGa=2
1,9,0.181623,dGa=2
1,10,0.219804,dGa=2
1,11,0.232244,dGa=2
1,12,0.227608,dGa=2
1,13,0.258366,dGa=2
1,14,0.256778,dGa=2
1,15,0.269176,dGa=2
1,16,0.286074,dGa=2
1,17,0.28669,dGa=2
1,18,0.314354,dGa=2
1,19,0.311465,dGa=2
1,20,0.350503,dGa=2
1,21,0.347499,dGa=2
1,22,0.372583,dGa=2
1,23,0.390851,dGa=2
1,24,0.407956,dGa=2
1,25,0.406325,dGa=2
1,26,0.432452,dGa=2
