threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.07075,aUtVQhQD=1
1,2,0.086052,aUtVQhQD=1
1,3,0.077656,aUtVQhQD=1
1,4,0.07676,aUtVQhQD=1
1,5,0.10361,aUtVQhQD=1
1,6,0.123284,aUtVQhQD=1
1,7,0.141095,aUtVQhQD=1
1,8,0.16472,aUtVQhQD=1
1,9,0.169875,aUtVQhQD=1
1,10,0.21029,aUtVQhQD=1
1,11,0.195727,aUtVQhQD=1
1,12,0.244276,aUtVQhQD=1
1,13,0.231812,aUtVQhQD=1
1,14,0.267547,aUtVQhQD=1
1,15,0.26966,aUtVQhQD=1
1,16,0.286247,aUtVQhQD=1
1,17,0.30279,aUtVQhQD=1
1,18,0.305983,aUtVQhQD=1
1,19,0.320123,aUtVQhQD=1
1,20,0.355089,aUtVQhQD=1
1,21,0.341392,aUtVQhQD=1
1,22,0.374147,aUtVQhQD=1
1,23,0.41209,aUtVQhQD=1
1,24,0.390711,aUtVQhQD=1
1,25,0.40473,aUtVQhQD=1
1,26,0.424784,aUtVQhQD=1
