threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.044592,ae4Z=19
1,2,0.075213,ae4Z=19
1,3,0.064125,ae4Z=19
1,4,0.302022,ae4Z=19
1,5,3.16622,ae4Z=19
1,6,2.77471,ae4Z=19
1,7,0.168335,ae4Z=19
1,8,0.147785,ae4Z=19
1,9,0.168221,ae4Z=19
1,10,0.171784,ae4Z=19
1,11,0.18895,ae4Z=19
1,12,0.211539,ae4Z=19
1,13,0.222646,ae4Z=19
1,14,0.240727,ae4Z=19
1,15,0.247206,ae4Z=19
1,16,0.264885,ae4Z=19
1,17,0.28015,ae4Z=19
1,18,0.317826,ae4Z=19
1,19,0.301754,ae4Z=19
1,20,0.320498,ae4Z=19
1,21,0.353388,ae4Z=19
1,22,0.364799,ae4Z=19
1,23,0.399968,ae4Z=19
1,24,0.387724,ae4Z=19
1,25,0.409739,ae4Z=19
1,26,0.408043,ae4Z=19
