threads_lectura,thread_maximo,tiempo_mediana,output
1,1,1.08909,abaURiV231=1
1,2,1.05422,abaURiV231=1
1,3,1.16317,abaURiV231=1
1,4,1.23383,abaURiV231=1
1,5,1.27733,abaURiV231=1
1,6,1.33235,abaURiV231=1
1,7,1.403,abaURiV231=1
1,8,1.43792,abaURiV231=1
1,9,1.47528,abaURiV231=1
1,10,1.51521,abaURiV231=1
1,11,1.56243,abaURiV231=1
1,12,1.58676,abaURiV231=1
1,13,1.60454,abaURiV231=1
1,14,1.56836,abaURiV231=1
1,15,1.64461,abaURiV231=1
1,16,1.6648,abaURiV231=1
1,17,1.71619,abaURiV231=1
1,18,1.74846,abaURiV231=1
1,19,1.74363,abaURiV231=1
1,20,1.80207,abaURiV231=1
1,21,1.77902,abaURiV231=1
1,22,1.95295,abaURiV231=1
1,23,1.98411,abaURiV231=1
1,24,1.92525,abaURiV231=1
1,25,2.02461,abaURiV231=1
1,26,1.94026,abaURiV231=1
