threads_lectura,thread_maximo,tiempo_mediana,output
1,1,0.065448,v4H=2
1,2,0.049586,v4H=2
1,3,0.094272,v4H=2
1,4,0.079549,v4H=2
1,5,0.155654,v4H=2
1,6,0.116676,v4H=2
1,7,0.138821,v4H=2
1,8,0.154808,v4H=2
1,9,0.168025,v4H=2
1,10,0.17704,v4H=2
1,11,0.193193,v4H=2
1,12,0.207174,v4H=2
1,13,0.227995,v4H=2
1,14,0.234731,v4H=2
1,15,0.287019,v4H=2
1,16,0.287393,v4H=2
1,17,0.306357,v4H=2
1,18,0.30974,v4H=2
1,19,0.325514,v4H=2
1,20,0.319713,v4H=2
1,21,0.348251,v4H=2
1,22,0.348248,v4H=2
1,23,0.379693,v4H=2
1,24,0.379576,v4H=2
1,25,0.401814,v4H=2
1,26,0.413316,v4H=2
